"tour","home_team","guest_team","home_team_scored","guest_team_scored"
1,"Карпати","Зірка","1","1"
1,"Маріуполь","Верес","0","0"
1,"Олександрія","Олімпік","0","2"
1,"Зоря","Сталь","0","1"
1,"Динамо","Чорноморець","2","1"
1,"Ворскла","Шахтар","0","3"
2,"Верес","Олександрія","0","0"
2,"Чорноморець","Сталь","0","1"
2,"Шахтар","Динамо","0","1"
2,"Карпати","Ворскла","1","3"
2,"Зоря","Маріуполь","1","1"
2,"Зірка","Олімпік","0","0"
3,"Сталь","Шахтар","1","2"
3,"Динамо","Карпати","5","0"
3,"Ворскла","Зірка","2","1"
3,"Маріуполь","Чорноморець","3","0"
3,"Олександрія","Зоря","1","1"
3,"Олімпік","Верес","0","0"
4,"Карпати","Сталь","3","1"
4,"Шахтар","Маріуполь","3","1"
4,"Чорноморець","Олександрія","2","2"
4,"Зірка","Верес","1","3"
4,"Зоря","Олімпік","0","2"
4,"Ворскла","Динамо","0","0"
5,"Динамо","Зірка","3","0"
5,"Сталь","Ворскла","0","1"
5,"Верес","Зоря","0","1"
5,"Олександрія","Шахтар","1","2"
5,"Маріуполь","Карпати","3","0"
5,"Олімпік","Чорноморець","1","0"
6,"Чорноморець","Верес","0","1"
6,"Шахтар","Олімпік","2","0"
6,"Карпати","Олександрія","0","0"
6,"Зірка","Зоря","2","1"
6,"Ворскла","Маріуполь","1","0"
6,"Динамо","Сталь","4","1"
7,"Сталь","Зірка","0","1"
7,"Олімпік","Карпати","0","0"
7,"Верес","Шахтар","1","2"
7,"Маріуполь","Динамо","3","0"
7,"Олександрія","Ворскла","0","1"
7,"Зоря","Чорноморець","5","0"
8,"Шахтар","Зоря","3","1"
8,"Ворскла","Олімпік","1","1"
8,"Зірка","Чорноморець","0","1"
8,"Карпати","Верес","1","6"
8,"Сталь","Маріуполь","0","1"
8,"Динамо","Олександрія","3","0"
9,"Олександрія","Сталь","4","1"
9,"Маріуполь","Зірка","1","0"
9,"Верес","Ворскла","1","0"
9,"Зоря","Карпати","0","0"
9,"Чорноморець","Шахтар","0","0"
9,"Олімпік","Динамо","1","2"
10,"Зірка","Шахтар","2","4"
10,"Динамо","Верес","0","0"
10,"Сталь","Олімпік","1","1"
10,"Маріуполь","Олександрія","1","1"
10,"Ворскла","Зоря","1","1"
10,"Карпати","Чорноморець","1","1"
11,"Олімпік","Маріуполь","3","2"
11,"Олександрія","Зірка","0","0"
11,"Чорноморець","Ворскла","0","3"
11,"Верес","Сталь","1","1"
11,"Шахтар","Карпати","2","0"
11,"Зоря","Динамо","4","4"
